split,image,applied
train,Emergency_break_135_jpg.rf.79c6dcdb4ffe4c0628e7203cf4dfe217.jpg,low_light_mild
train,Emergency_break_137_jpg.rf.49d50ac01b25807c3f7cf7696f93e1f5.jpg,low_light_moderate
train,Emergency_break_138_jpg.rf.2e00775efca69cc3b43d96270e640474.jpg,fog_moderate
train,Emergency_break_139_jpg.rf.7979d7a61047a392526a74f96de4073f.jpg,small_distance_0.55|occlusion_moderate
train,Emergency_break_13_jpg.rf.2a08b9219790a8ab2eef8b2b597eaf36.jpg,clean
train,Emergency_break_140_jpg.rf.29761430e149c0bebbd5a1457ff090f7.jpg,occlusion_moderate
train,Emergency_break_141_jpg.rf.fdf2373a21825babf233038d6b764531.jpg,rain_mild
train,Emergency_break_14_jpg.rf.415b57d5a7020dc318e2ed42af40f18c.jpg,low_light_mild
train,Emergency_break_15_jpg.rf.3f297a7fde92b9def07fa3b3a800157b.jpg,blur_moderate
train,Emergency_break_16_jpg.rf.9180bcefb63fd8318dcbf383e2547a4e.jpg,clean
train,Emergency_break_17_jpg.rf.0145be8ee76cfcf4966d8652b5fd6e9f.jpg,small_distance_0.57
train,Emergency_break_18_jpg.rf.b5698263fd7f762dab489d7e4f6defb2.jpg,glare_mild
train,Emergency_break_19_jpg.rf.3120c8aa60a87ae224242ae71f218227.jpg,rain_mild
train,Emergency_break_20_jpg.rf.da425ffe5e570ed88c6baf1cb5790ec0.jpg,clean
train,Emergency_break_21_jpg.rf.c970d15b2e3dca0e19ce85afadf0a7bd.jpg,small_distance_0.71|rain_severe
train,Emergency_break_23_jpg.rf.01b91bd65f186773488f9282b422b729.jpg,occlusion_moderate
train,Emergency_break_24_jpg.rf.3b0b88a851c2f2faeddd91e3ef17d549.jpg,fog_moderate
train,Emergency_break_250m_102_jpg.rf.0d033fde104c9b24bda8bca0817954a8.jpg,rain_mild
train,Emergency_break_250m_106_jpg.rf.6798d40bd72c8697c180fafc9b206e48.jpg,small_distance_0.56|low_light_mild
train,Emergency_break_250m_107_jpg.rf.cfcd224203482d26be4a36d93c9479e6.jpg,small_distance_0.76|blur_mild
train,Emergency_break_250m_109_jpg.rf.9706e6a5d3f0687ec3f69577c9e9f807.jpg,rain_moderate
train,Emergency_break_250m_10_jpg.rf.e4f11ce13b0e5ddc9e29de5a57231033.jpg,rain_severe
train,Emergency_break_250m_110_jpg.rf.7f52420688c872973960c4187d705cab.jpg,glare_mild
train,Emergency_break_250m_111_jpg.rf.39d21911ac6f96a5c126543f5d535a2b.jpg,clean
train,Emergency_break_250m_112_jpg.rf.06ec4da10cc5d32dd82dfa9d5dab1a45.jpg,small_distance_0.58|glare_moderate
train,Emergency_break_250m_113_jpg.rf.2a68b4ba7159569c34315062423af7ba.jpg,occlusion_severe
train,Emergency_break_250m_114_jpg.rf.f8c86334cb62d99d99ba175ea777f224.jpg,glare_severe
train,Emergency_break_250m_115_jpg.rf.82dc07708e83eb663f696831a281d2b0.jpg,small_distance_0.81|rain_severe
train,Emergency_break_250m_116_jpg.rf.d996668a3387f3b1108146a1add8e856.jpg,fog_moderate
train,Emergency_break_250m_117_jpg.rf.f8c4fa7e7130dc43890a012c6bcb95b6.jpg,small_distance_0.83|low_light_mild
train,Emergency_break_250m_118_jpg.rf.dbe5d0f94b9863310be61234fa640c02.jpg,small_distance_0.85
train,Emergency_break_250m_11_jpg.rf.7577cee7b4b6cfa3b9a8deb29b2504e3.jpg,clean
train,Emergency_break_250m_120_jpg.rf.934e9a9392023a964d15f329fec602b7.jpg,glare_moderate
train,Emergency_break_250m_121_jpg.rf.cea41c1718e3a55e5bc3a1dab2247696.jpg,small_distance_0.67|glare_mild
train,Emergency_break_250m_122_jpg.rf.0acc862541f9795bdde28bbf62d01ff9.jpg,glare_moderate
train,Emergency_break_250m_124_jpg.rf.d1ec945f6c5a9fb0e07a95a64db9169c.jpg,clean
train,Emergency_break_250m_126_jpg.rf.a3707438ee5eeeefa1f9a8aa908a8815.jpg,occlusion_moderate
train,Emergency_break_250m_127_jpg.rf.a96e9da9d3225b17d0f84208c3709209.jpg,small_distance_0.64
train,Emergency_break_250m_128_jpg.rf.f22833bb6a01c9a3e7c7c3ad6c2da811.jpg,occlusion_moderate
train,Emergency_break_250m_129_jpg.rf.08ed22c009488b8460b72266d1e0d73f.jpg,small_distance_0.73|low_light_mild
train,Emergency_break_250m_12_jpg.rf.59bc8db1fcc0301748dc28e74210ab7f.jpg,small_distance_0.70
train,Emergency_break_250m_130_jpg.rf.08518fc7f174fa638a6fb37ccbf2e37d.jpg,small_distance_0.57
train,Emergency_break_250m_131_jpg.rf.9036094679e9d2bdee7a9f8ef2cd89a9.jpg,clean
train,Emergency_break_250m_132_jpg.rf.368b39a9bc8214791dab183ff9a7f10f.jpg,blur_severe
train,Emergency_break_250m_134_jpg.rf.a8293e4b4b48d7aaf4b99c51071f06ed.jpg,small_distance_0.75|fog_moderate
train,Emergency_break_250m_135_jpg.rf.22881d71b6b370793437d29df8e5cf5c.jpg,small_distance_0.76|glare_mild
train,Emergency_break_250m_136_jpg.rf.16cefe7cc9c53dc54c613ed46803c08f.jpg,fog_mild
train,Emergency_break_250m_137_jpg.rf.f550e6d693e8cba566a431ef2a64aa54.jpg,small_distance_0.74|blur_mild
train,Emergency_break_250m_139_jpg.rf.2e0dba29b072afb24d317d3f0c944b27.jpg,rain_moderate
train,Emergency_break_250m_13_jpg.rf.3a501fa2829c7ced1e14449b11339d27.jpg,clean
train,Emergency_break_250m_140_jpg.rf.5c4220957ae49cea7169b073dcc3d68c.jpg,low_light_severe
train,Emergency_break_250m_141_jpg.rf.64157fc64c90275887be570b17fdee07.jpg,small_distance_0.85
train,Emergency_break_250m_142_jpg.rf.119c678a38463178bf28c73e30428f3f.jpg,low_light_moderate
train,Emergency_break_250m_143_jpg.rf.92c591c6794e0d1b8b7311449effcce6.jpg,rain_moderate
train,Emergency_break_250m_146_jpg.rf.31ab6b12d11d46feeff93e60a8d19721.jpg,small_distance_0.58|fog_moderate
train,Emergency_break_250m_147_jpg.rf.84910b68bf61204feac1cb059ac7d472.jpg,rain_severe
train,Emergency_break_250m_148_jpg.rf.f961f6b8e787b4079741fc7f2227fe0d.jpg,glare_moderate
train,Emergency_break_250m_149_jpg.rf.f6fb46f6b41d5904c8a05b6cedce56d3.jpg,clean
train,Emergency_break_250m_150_jpg.rf.2cfea86ae9e9b3356092c4cb362d7449.jpg,small_distance_0.68|blur_moderate
train,Emergency_break_250m_151_jpg.rf.c6de3f8a21c79cf7293eda542b8cf3bf.jpg,fog_mild
train,Emergency_break_250m_152_jpg.rf.33c596e3bed1e015e412ebffb2e844c0.jpg,glare_severe
train,Emergency_break_250m_156_jpg.rf.4e05804922146d54dbb024149ac4ea8b.jpg,small_distance_0.57
train,Emergency_break_250m_157_jpg.rf.984d2c5c3966fe4fb383c3391bbf58d0.jpg,fog_severe
train,Emergency_break_250m_158_jpg.rf.8e8134336f0275609f717dc0523918c8.jpg,blur_moderate
train,Emergency_break_250m_159_jpg.rf.6a0446775eb612f039a9417ba061017c.jpg,clean
train,Emergency_break_250m_15_jpg.rf.602871b0ea89e6b6adeede0299818ef6.jpg,fog_mild
train,Emergency_break_250m_160_jpg.rf.b19f9cc79e8b48f96f0fc87240c9e385.jpg,fog_severe
train,Emergency_break_250m_162_jpg.rf.748d7fc57aae3f7d3e0e69ba5f218cf8.jpg,low_light_severe
train,Emergency_break_250m_164_jpg.rf.6ed03d382f2e180336f8f7869e372299.jpg,small_distance_0.83
train,Emergency_break_250m_166_jpg.rf.e8be10b8f87342584c690daefe09aec1.jpg,clean
train,Emergency_break_250m_167_jpg.rf.634b41e992016cba23608e18b5e0d208.jpg,occlusion_moderate
train,Emergency_break_250m_169_jpg.rf.0d6d09c94365a54e67d7f94085387352.jpg,occlusion_severe
train,Emergency_break_250m_16_jpg.rf.0febc88cd687db00aa973c742611f8fb.jpg,occlusion_mild
train,Emergency_break_250m_170_jpg.rf.405ea9925e52fdf309f12b83e1fd7592.jpg,glare_mild
train,Emergency_break_250m_171_jpg.rf.3da01e310869b7aa670a69ad67cd5d29.jpg,small_distance_0.83|rain_mild
train,Emergency_break_250m_174_jpg.rf.b20631271c663c2dca1f77a06478acec.jpg,small_distance_0.61|blur_moderate
train,Emergency_break_250m_17_jpg.rf.e31b61e280ce9292704668e8041a8e3a.jpg,occlusion_severe
train,Emergency_break_250m_18_jpg.rf.1c56d8fe887c84ad7027b0cdd7b8fd74.jpg,small_distance_0.56
train,Emergency_break_250m_1_jpg.rf.9e294f37fbd0c774802612ddadb32ca5.jpg,small_distance_0.72
train,Emergency_break_250m_20_jpg.rf.881936787eef62e59069704fe0b2df8a.jpg,small_distance_0.73|fog_moderate
train,Emergency_break_250m_21_jpg.rf.5d3f389857e5f58b560854d9f77256ae.jpg,glare_severe
train,Emergency_break_250m_23_jpg.rf.60dd7aa16f4f26b0738e4d378c73dcbe.jpg,small_distance_0.56|low_light_severe
train,Emergency_break_250m_24_jpg.rf.ff2c247af072c1b19dd3db24bb72ee25.jpg,clean
train,Emergency_break_250m_25_jpg.rf.b67b119af7304d2143b7c191a85dbe94.jpg,glare_mild
train,Emergency_break_250m_26_jpg.rf.12397796fe9132429baf4691770dd7ed.jpg,clean
train,Emergency_break_250m_27_jpg.rf.70926220527db7054a42a6f2b9a4e908.jpg,blur_severe
train,Emergency_break_250m_29_jpg.rf.335f04b3ecfc9db4ee0fa46ed341bfdd.jpg,occlusion_moderate
train,Emergency_break_250m_2_jpg.rf.4698c344aeb52b55d4e28d9c9f692283.jpg,small_distance_0.76|rain_moderate
train,Emergency_break_250m_30_jpg.rf.5ddf888725323b0f308be083b80fc5c5.jpg,occlusion_mild
train,Emergency_break_250m_31_jpg.rf.dcfe61d541c2135b4eacf0f7689fd761.jpg,low_light_mild
train,Emergency_break_250m_32_jpg.rf.05bc502098443b67b601c30f69b708b0.jpg,small_distance_0.61
train,Emergency_break_250m_33_jpg.rf.a75862848474d2693103238e6a58eb41.jpg,glare_moderate
train,Emergency_break_250m_36_jpg.rf.3540d4cfaab295c707b2037fc755e316.jpg,occlusion_mild
train,Emergency_break_250m_37_jpg.rf.d1f262e90fc8aed449d9020372851dd5.jpg,occlusion_severe
train,Emergency_break_250m_39_jpg.rf.5ae94f10313df56b1f1c465ed3a7347c.jpg,rain_severe
train,Emergency_break_250m_3_jpg.rf.e8e64f5aaa604a7a2fa35e1eb2f4aa78.jpg,small_distance_0.79|blur_mild
train,Emergency_break_250m_41_jpg.rf.be4d4e952def53c3cc646103e66bb1d9.jpg,blur_moderate
train,Emergency_break_250m_42_jpg.rf.778fc745491cd8551c1ed74dc128698f.jpg,rain_severe
train,Emergency_break_250m_43_jpg.rf.b8b36317598c122839072c27b428f9a4.jpg,rain_mild
train,Emergency_break_250m_44_jpg.rf.9c73efa87aeffbc13e78e17d0c68ab68.jpg,blur_moderate
train,Emergency_break_250m_45_jpg.rf.b6bc1cda8b4b21d87fb594f1a4e26d45.jpg,small_distance_0.79|glare_mild
train,Emergency_break_250m_46_jpg.rf.a8bb103c3c5404b76671194792978fa5.jpg,clean
train,Emergency_break_250m_47_jpg.rf.6de7e653f2b270c755d5a7b5089f59d6.jpg,small_distance_0.59|low_light_severe
train,Emergency_break_250m_48_jpg.rf.ec5c370b30a4fe8a1ecb51c341b8b5ae.jpg,clean
train,Emergency_break_250m_50_jpg.rf.c05b8bc92deb1bec9f7ef14b8d61e4a3.jpg,occlusion_severe
train,Emergency_break_250m_51_jpg.rf.2c8d0744b5ccc3b5815e8d51b30e3270.jpg,clean
train,Emergency_break_250m_53_jpg.rf.ceb0b439172d71afbf8a6e2627e31f75.jpg,glare_moderate
train,Emergency_break_250m_54_jpg.rf.8d6b493bb55ea1b3f82714f85aaef59b.jpg,small_distance_0.62|low_light_moderate
train,Emergency_break_250m_55_jpg.rf.51ab32a06fa6f73440d1ebcdfd80bdca.jpg,blur_severe
train,Emergency_break_250m_56_jpg.rf.7c1280d7c18e548fb4b9fd47c7cfbf55.jpg,small_distance_0.63|low_light_mild
train,Emergency_break_250m_57_jpg.rf.910e08b29c992e00eec0b91a06a44bba.jpg,small_distance_0.62|occlusion_mild
train,Emergency_break_250m_59_jpg.rf.965426b3ca45b70ee22f81026d6dcbae.jpg,small_distance_0.67|glare_mild
train,Emergency_break_250m_5_jpg.rf.c1d29203e686781ba679ddda2bf87dba.jpg,small_distance_0.68
train,Emergency_break_250m_60_jpg.rf.079e71a2accbd94ae3a95452f41f11bf.jpg,low_light_moderate
train,Emergency_break_250m_62_jpg.rf.2f562f31de27644dec1adbd29eb29b64.jpg,clean
train,Emergency_break_250m_65_jpg.rf.01789f93ade5dbfa25539a7c8b6f984a.jpg,small_distance_0.67
train,Emergency_break_250m_66_jpg.rf.506edfcfa31010a3c5dcee5a0fd2e637.jpg,occlusion_severe
train,Emergency_break_250m_67_jpg.rf.82e7ddd400e8322bb6ae8d35f9847193.jpg,clean
train,Emergency_break_250m_68_jpg.rf.876a4827e79d5a9234d340e191537278.jpg,glare_mild
train,Emergency_break_250m_69_jpg.rf.9d12a2282933a03d5ac0f6b6480734cf.jpg,glare_severe
train,Emergency_break_250m_6_jpg.rf.981965b107bfecce44a32d9e2da997e0.jpg,small_distance_0.69|low_light_severe
train,Emergency_break_250m_70_jpg.rf.bd0896a1a6d37673ac3186d9e37026f5.jpg,small_distance_0.67|blur_mild
train,Emergency_break_250m_71_jpg.rf.75b36479a76cdacd7ee5c1fa9265714d.jpg,glare_mild
train,Emergency_break_250m_72_jpg.rf.1bbdd03f4acf054ed16f6b689d8e454e.jpg,small_distance_0.66|fog_moderate
train,Emergency_break_250m_74_jpg.rf.56ce72b2e65ff33f3a937dcf08607a8a.jpg,glare_moderate
train,Emergency_break_250m_75_jpg.rf.75fddb148e5702ae27a9e96349957067.jpg,occlusion_severe
train,Emergency_break_250m_76_jpg.rf.febe636cccd50160cf397ee35e8dd662.jpg,small_distance_0.84|blur_severe
train,Emergency_break_250m_77_jpg.rf.2453fbe0d2e2e0d930c0db9dc148b572.jpg,small_distance_0.56|blur_severe
train,Emergency_break_250m_78_jpg.rf.21e38f516f0a88cf1ca4ff5c2402c183.jpg,small_distance_0.59|low_light_mild
train,Emergency_break_250m_79_jpg.rf.95d94e6f2d0961123aa44279b62c672a.jpg,fog_mild
train,Emergency_break_250m_7_jpg.rf.eee1b14a1b2247626c23941952f1cd75.jpg,clean
train,Emergency_break_250m_81_jpg.rf.5e69cb29e3bf51a8bb5a073deeb62500.jpg,clean
train,Emergency_break_250m_83_jpg.rf.3a2ce56fdabb20863068775afbcb8a41.jpg,small_distance_0.64|fog_severe
train,Emergency_break_250m_84_jpg.rf.328e74e923751b94364c10a3df53bc3d.jpg,clean
train,Emergency_break_250m_85_jpg.rf.15bbae76047a727eed6393243b57c6fb.jpg,blur_severe
train,Emergency_break_250m_86_jpg.rf.a55bcd9c7dc0361fea1e157791dc678c.jpg,blur_severe
train,Emergency_break_250m_8_jpg.rf.c9dc9ba3985806fed9ae1591b3e3c45e.jpg,clean
train,Emergency_break_250m_90_jpg.rf.8ba1a3d3e38990a1456601e4e9365094.jpg,low_light_mild
train,Emergency_break_250m_91_jpg.rf.358f7442d4d88ccfbdb053780a6a618d.jpg,small_distance_0.68|low_light_severe
train,Emergency_break_250m_92_jpg.rf.9e98f6de6ac47f4e1a8b2afd7f19ff75.jpg,small_distance_0.80
train,Emergency_break_250m_93_jpg.rf.5234c96c16d1dfb8520e19d4bfba3f65.jpg,small_distance_0.84|glare_severe
train,Emergency_break_250m_94_jpg.rf.551a5307b8b8ff22d9b744ed104a27e2.jpg,small_distance_0.60|occlusion_moderate
train,Emergency_break_250m_95_jpg.rf.3b8499e701a5c3cce6aabaf39c12d2b5.jpg,clean
train,Emergency_break_250m_96_jpg.rf.15c71fa65e7f89e663af1b774036364c.jpg,occlusion_severe
train,Emergency_break_250m_97_jpg.rf.c5890feb957585200c037b1e6b7a5217.jpg,small_distance_0.81
train,Emergency_break_250m_98_jpg.rf.ba83ea86c740707447a27f903c907a7d.jpg,small_distance_0.81|glare_severe
train,Emergency_break_250m_99_jpg.rf.3463adcd13ddbd3fe4c0eb0101795849.jpg,blur_moderate
train,Emergency_break_250m_9_jpg.rf.6df9a1d401ec565d0d364bafc6486c7c.jpg,rain_moderate
train,Emergency_break_25_jpg.rf.de5898d94340f07d2a5ae38f723fba11.jpg,low_light_severe
train,Emergency_break_26_jpg.rf.96703629a9d9d1f3075c5da2e143392b.jpg,low_light_mild
train,Emergency_break_27_jpg.rf.1a3f12b76a5d6947ec1e80fcac405baf.jpg,small_distance_0.77|rain_severe
train,Emergency_break_28_jpg.rf.ab7bb077702aaa205df6e3955f82a0a0.jpg,glare_mild
train,Emergency_break_29_jpg.rf.f41cbef0cb49c17dfa9097bb2efd19c3.jpg,small_distance_0.62|fog_severe
train,Emergency_break_30_jpg.rf.1ca4d5392c80c3fc79209b84a96bff37.jpg,low_light_moderate
train,Emergency_break_31_jpg.rf.a11573c1d4688853ec79b1f61b717936.jpg,fog_moderate
train,Emergency_break_32_jpg.rf.0b6d8d3226b571464de0c6e827f83316.jpg,fog_mild
train,Emergency_break_33_jpg.rf.c0e808d958126632b28d2e9f1e222453.jpg,small_distance_0.61|low_light_severe
train,Emergency_break_34_jpg.rf.5ebe5127cc62dd28fdb5c059f5ba97e1.jpg,small_distance_0.61|occlusion_severe
train,Emergency_break_36_jpg.rf.5e611718dbd421486c7068fff73cbf15.jpg,fog_mild
train,Emergency_break_37_jpg.rf.607694f7c41e0dccf7dff908a0df225b.jpg,fog_mild
train,Emergency_break_39_jpg.rf.9b9cc531a608f1169e15bd1315da5b9d.jpg,small_distance_0.76|blur_mild
train,Emergency_break_3_jpg.rf.5e2f3ac558daf4b26e482378728224e5.jpg,rain_severe
train,Emergency_break_40_jpg.rf.2a41ce650ff6254a888a661448396582.jpg,blur_severe
train,Emergency_break_41_jpg.rf.33fc87c002dbcfaa52fdea46402d297d.jpg,small_distance_0.69|blur_moderate
train,Emergency_break_44_jpg.rf.aa44ad9324e0e6c6251b295e9c62ba9e.jpg,blur_moderate
train,Emergency_break_46_jpg.rf.0c65c91871e20bad892f72c696afc35c.jpg,occlusion_mild
train,Emergency_break_47_jpg.rf.7a5798b59b9d947c6e15219d9cb94b40.jpg,small_distance_0.79
train,Emergency_break_49_jpg.rf.278cb739e071ee09b25ac5e94592a386.jpg,small_distance_0.62|glare_severe
train,Emergency_break_4_jpg.rf.cf451eded2c34659edd0c2bc94e476bb.jpg,low_light_moderate
train,Emergency_break_50_jpg.rf.6577301cc5a39fe67e9992f69d5e8119.jpg,low_light_moderate
train,Emergency_break_51_jpg.rf.c037c086751ff7e6ed08701ca8805587.jpg,small_distance_0.74|occlusion_mild
train,Emergency_break_52_jpg.rf.300a1b01d4c0374010a18da79aa59139.jpg,rain_moderate
train,Emergency_break_53_jpg.rf.ddeb95c6c50f51046936a8d736ca9877.jpg,rain_severe
train,Emergency_break_54_jpg.rf.d40075bfa54229c79972bdcb24f2619b.jpg,small_distance_0.55|low_light_moderate
train,Emergency_break_56_jpg.rf.b8c7f4a27a58548434398a4c48175c14.jpg,small_distance_0.62|occlusion_moderate
train,Emergency_break_58_jpg.rf.eff13eaaa7a5f98a08da588666a90d22.jpg,small_distance_0.62|occlusion_severe
train,Emergency_break_61_jpg.rf.76cbdd071a8611123e6823562b55b415.jpg,clean
train,Emergency_break_62_jpg.rf.48cad962e85a2bc7da6186c7e4441e98.jpg,occlusion_mild
train,Emergency_break_63_jpg.rf.237bf8dc64f5f250e38bc10cf8787900.jpg,clean
train,Emergency_break_64_jpg.rf.53ae5202a39b5cb5c348e7e503befb52.jpg,small_distance_0.60|occlusion_severe
train,Emergency_break_65_jpg.rf.547f9714de65dd0b85767b4625f93628.jpg,glare_severe
train,Emergency_break_66_jpg.rf.37cb5a531b6dd9bdf4c4725077c78395.jpg,small_distance_0.67|low_light_moderate
train,Emergency_break_67_jpg.rf.913e02747ad3075f5d872778afa8046f.jpg,glare_severe
train,Emergency_break_68_jpg.rf.fa3de66f19247914d99a7ccfeaec119b.jpg,small_distance_0.63|occlusion_severe
train,Emergency_break_69_jpg.rf.b43da2cbaa61d0681a277cedb44a9772.jpg,occlusion_moderate
train,Emergency_break_6_jpg.rf.56bb2b158021d62237763e4a7208697c.jpg,clean
train,Emergency_break_71_jpg.rf.ac649b03e5c99da17a3885db56a99782.jpg,small_distance_0.71|fog_mild
train,Emergency_break_72_jpg.rf.93e73e74cac2c39660bdb276d6c24d4e.jpg,glare_mild
train,Emergency_break_74_jpg.rf.18068193e7553405a666661ce3ee2fa1.jpg,fog_severe
train,Emergency_break_75_jpg.rf.8699561116b8a70e9d74172b63452337.jpg,small_distance_0.60|glare_moderate
train,Emergency_break_76_jpg.rf.60b393dd8224d4a1804076882d1a504f.jpg,low_light_mild
train,Emergency_break_81_jpg.rf.36b8adecc6300704ca08026ba451aeb6.jpg,fog_mild
train,Emergency_break_83_jpg.rf.bbae5945c8ac87d0ebbc6cc992e56dd1.jpg,low_light_mild
train,Emergency_break_84_jpg.rf.83b5b57cd3f7a8e924b01c45cfbaf186.jpg,glare_mild
train,Emergency_break_85_jpg.rf.1393d4d769c9cb96373f61f777598f0f.jpg,small_distance_0.66
train,Emergency_break_86_jpg.rf.566b9f129011ce9a5e2878c3b5464334.jpg,clean
train,Emergency_break_87_jpg.rf.494a4d1961fe1cc795a2d8cf34bc196f.jpg,small_distance_0.71
train,Emergency_break_89_jpg.rf.0586e49e3dbdfa54c4ce464244e3c23c.jpg,blur_mild
train,Emergency_break_91_jpg.rf.48d9bc5aa8d675a723b689fa5c3844d4.jpg,rain_severe
train,Emergency_break_94_jpg.rf.ed337bdbfa17726cb28c1758de260a8c.jpg,small_distance_0.72|blur_mild
train,Emergency_break_95_jpg.rf.1c8120e33cabe01f30c31f3993ce869d.jpg,clean
train,Emergency_break_97_jpg.rf.83d331e4047a5b42717db05206c3a685.jpg,rain_moderate
train,Emergency_break_98_jpg.rf.56cbb5c552103f03bf5e0786305f9536.jpg,occlusion_moderate
train,Emergency_break_99_jpg.rf.09208ede846bcca8bc0c56ce705ef323.jpg,glare_mild
train,Emergency_break_9_jpg.rf.f40b42e6b8593f86719e9ae253aa6953.jpg,rain_severe
train,Height_limit_5-7m_101_jpg.rf.32a0ef75f72e1bbb0ce6ed92fae430ea.jpg,clean
train,Height_limit_5-7m_103_jpg.rf.bcec059667ae3cd92768dd7eb8e91ff4.jpg,glare_moderate
train,Height_limit_5-7m_104_jpg.rf.8a0a20b0851a013594134357f3e5c303.jpg,blur_moderate
train,Height_limit_5-7m_105_jpg.rf.75ce7a7f9b2925998e85da4a62267cf5.jpg,clean
train,Height_limit_5-7m_106_jpg.rf.7eca5fc86e697daaf63e664557db721a.jpg,rain_moderate
train,Height_limit_5-7m_110_jpg.rf.73f6a6cb52b3ad62603ef2b3ceb5fa66.jpg,low_light_severe
train,Height_limit_5-7m_112_jpg.rf.34af9336556b66a85bba941f6fcef1d0.jpg,clean
train,Height_limit_5-7m_113_jpg.rf.7daedb51831021a4d7f5f58ea7c8dc82.jpg,clean
train,Height_limit_5-7m_114_jpg.rf.16c7e5a8cf9a2a72d64bc7adc8d0018c.jpg,small_distance_0.66
train,Height_limit_5-7m_115_jpg.rf.bdd0dc8a2693b1c15876d531af22a04f.jpg,glare_severe
train,Height_limit_5-7m_116_jpg.rf.8bced5bb852972aadac3a40f371ccc4d.jpg,occlusion_severe
train,Height_limit_5-7m_118_jpg.rf.c1f9aade407d595cff2e15e0479c96bf.jpg,blur_mild
train,Height_limit_5-7m_119_jpg.rf.51d4fab8f951a82296a2122ecf06b1bc.jpg,blur_moderate
train,Height_limit_5-7m_11_jpg.rf.4bdb4379f098f55d08dca804174818c8.jpg,small_distance_0.82|rain_moderate
train,Height_limit_5-7m_120_jpg.rf.cb517c2b2366424a55c65e15fd0fcc0e.jpg,clean
train,Height_limit_5-7m_121_jpg.rf.17bab1a7bfc963e26898f371635df54f.jpg,small_distance_0.78|low_light_severe
train,Height_limit_5-7m_122_jpg.rf.213b123431c36daae77bb2c865aa3bb1.jpg,fog_severe
train,Height_limit_5-7m_123_jpg.rf.d439a6c1227ed730c2b0299de895f5af.jpg,fog_severe
train,Height_limit_5-7m_125_jpg.rf.15feff6265bcd68feaa682e39b9cf8b2.jpg,clean
train,Height_limit_5-7m_126_jpg.rf.0180e9ba8dbc710ca9f9e599b058e1e9.jpg,blur_mild
train,Height_limit_5-7m_127_jpg.rf.5d3fa7b6c5b9efa33beab8460822738d.jpg,clean
train,Height_limit_5-7m_128_jpg.rf.b348af0f8de46f2ac216b2a7a3b16f18.jpg,glare_mild
train,Height_limit_5-7m_129_jpg.rf.a7b85f98272fd2934bd7adc66f196ebc.jpg,blur_moderate
